Generation;Best_Trader_Fitness;Average_Fitness_of_Population
214;1144366.56;114103.23
215;1144366.56;130393.16
216;1144366.56;139039.08
217;1144366.56;160696.64
218;1144366.56;180112.71
219;1144366.56;170756.99
220;1144366.56;170756.99
221;1144366.56;162644.5
222;1144366.56;166962.19
223;1144366.56;162644.5
224;1144366.56;162644.5
225;1144366.56;162644.5
226;1144366.56;162644.5
227;1144366.56;156879.89
228;1144366.56;160951.26
229;1144366.56;160951.26
230;1144366.56;164458.65
231;1144366.56;164458.65
232;1144366.56;167950.05
233;1144366.56;166504.17
234;1144366.56;185310.21
235;1144366.56;185310.21
236;1144366.56;185310.21
237;1144366.56;176606.37
238;1144366.56;190343.97
239;1144366.56;190343.97
240;1144366.56;192442.29
241;1144366.56;152661.35
242;1144366.56;159596.7
243;1144366.56;147770.01
244;1144366.56;176987.81
245;1144366.56;189039.93
246;1144366.56;217028.97
247;1144366.56;189039.93
248;1144366.56;188009.91
249;1144366.56;220854.83
250;1144366.56;220854.83
251;1144366.56;201493.65
252;1144366.56;201493.65
253;1144366.56;149229.34
254;1144366.56;175767.46
255;1144366.56;175767.46
256;1144366.56;146735.4
257;1144366.56;146735.4
258;1144366.56;151842.23
259;1144366.56;151842.23
260;1144366.56;184110.77
261;1144366.56;183060.34
262;1144366.56;261481.06
263;1144366.56;172439.63
264;1144366.56;289883.18
265;1144366.56;179131.57
266;1144366.56;179131.57
267;1144366.56;184503.49
268;1144366.56;197974.41
269;1144366.56;263245.82
270;1144366.56;297477.66
271;1144366.56;297188.8
272;1144366.56;274120.97
273;1144366.56;254706.35
274;1144366.56;254909.65
275;1144366.56;254909.65
276;1144366.56;254909.65
277;1144366.56;235078.24
278;1144366.56;228131.54
279;1144366.56;235078.24
280;1144366.56;235078.24
281;1144366.56;235078.24
282;1144366.56;228131.54
283;1144366.56;170874.09
284;1144366.56;170874.09
285;1144366.56;170874.09
286;1144366.56;171086.27
287;1144366.56;178387.8
288;1144366.56;174880.17
289;1144366.56;174880.17
290;1144366.56;190463.93
291;1144366.56;181769.96
292;1144366.56;185132.33
293;1144366.56;194268.65
294;1144366.56;199670.84
295;1144366.56;199670.84
296;1144366.56;194268.65
297;1144366.56;199670.84
298;1144366.56;244915.0
299;1144366.56;244915.0
300;1144366.56;237561.34
