Generation;Best_Trader_Fitness;Average_Fitness_of_Population
215;1861302.81;197978.27
216;1861302.81;201230.8
217;1861302.81;228553.74
218;1861302.81;228553.74
219;1861302.81;208282.49
220;1861302.81;238631.84
221;1861302.81;197060.1
222;1861302.81;194101.56
223;1861302.81;194101.56
224;1861302.81;195503.84
225;1861302.81;205061.78
226;1861302.81;207056.28
227;1861302.81;207056.28
228;1861302.81;215157.14
229;1861302.81;202751.84
230;1861302.81;202751.84
231;1861302.81;226154.16
232;1861302.81;212615.65
233;1861302.81;212615.65
234;1861302.81;212615.65
235;1861302.81;213187.88
236;1861302.81;211239.25
237;1861302.81;213187.88
238;1861302.81;295255.4
239;1861302.81;295255.4
240;1861302.81;248872.79
241;1861302.81;195394.7
242;1861302.81;213642.53
243;1861302.81;225170.68
244;1861302.81;357605.74
245;1861302.81;320230.92
246;1861302.81;208232.68
247;1861302.81;208232.68
248;1861302.81;208232.68
249;1861302.81;208232.68
250;1861302.81;299718.29
251;1861302.81;212333.3
252;1861302.81;230563.43
253;1861302.81;230563.43
254;1861302.81;227495.65
255;1861302.81;393015.03
256;1861302.81;393015.03
257;1861302.81;268824.84
258;1861302.81;268824.84
259;1861302.81;393015.03
260;1861302.81;252811.2
261;1861302.81;252811.2
262;1861302.81;276304.25
263;1861302.81;276304.25
264;1861302.81;435219.48
265;1861302.81;435219.48
266;1861302.81;435579.25
267;1861302.81;377967.77
268;1861302.81;377967.77
269;1861302.81;238283.63
270;1861302.81;238283.63
271;1861302.81;238283.63
272;1861302.81;290222.13
273;1861302.81;290222.13
274;1861302.81;389492.25
275;1861302.81;389492.25
276;1861302.81;287895.61
277;1861302.81;260885.36
278;1861302.81;267352.18
279;1861302.81;316904.42
280;1861302.81;270009.73
281;1861302.81;319186.73
282;1861302.81;270009.73
283;1861302.81;348861.78
284;1861302.81;339218.91
285;1861302.81;393641.73
286;1861302.81;393641.73
287;1861302.81;339218.91
288;1861302.81;339218.91
289;1861302.81;283286.11
290;1861302.81;283286.11
291;1861302.81;254733.46
292;1861302.81;255091.99
293;1861302.81;255091.99
294;1861302.81;255091.99
295;1861302.81;255091.99
296;1861302.81;267393.27
297;1861302.81;271683.08
298;1861302.81;271683.08
299;1861302.81;271683.08
300;1861302.81;246031.42
