Generation;Best_Trader_Fitness;Average_Fitness_of_Population
231;487385.71;88090.21
232;487385.71;88090.21
233;487385.71;74003.54
234;487385.71;87766.6
235;487385.71;74003.54
236;487385.71;118664.26
237;487385.71;65944.19
238;487385.71;119520.24
239;487385.71;87814.99
240;487385.71;130613.54
241;487385.71;130613.54
242;487385.71;87814.99
243;487385.71;130613.54
244;487385.71;165222.57
245;487385.71;165222.57
246;487385.71;93908.51
247;487385.71;94921.8
248;487385.71;94921.8
249;487385.71;165742.65
250;487385.71;94921.8
251;487385.71;173231.96
252;487385.71;129913.13
253;487385.71;99576.63
254;487385.71;89811.89
255;487385.71;65342.0
256;487385.71;66458.65
257;487385.71;99197.72
258;487385.71;73143.95
259;487385.71;74642.14
260;487385.71;72358.08
261;487385.71;68779.98
262;487385.71;72358.08
263;487385.71;72358.08
264;487385.71;68779.98
265;487385.71;72358.08
266;487385.71;72358.08
267;487385.71;68779.98
268;487385.71;71615.84
269;487385.71;71615.84
270;487385.71;65341.74
271;487385.71;65341.74
272;487385.71;71615.84
273;487385.71;71615.84
274;487385.71;71615.84
275;487385.71;65341.74
276;487385.71;71615.84
277;487385.71;71615.84
278;487385.71;71615.84
279;487385.71;65341.74
280;487385.71;65341.74
281;487385.71;54459.73
282;487385.71;54161.1
283;487385.71;68959.72
284;487385.71;69986.64
285;487385.71;66923.71
286;487385.71;66923.71
287;487385.71;61252.39
288;487385.71;60484.47
289;487385.71;64787.5
290;487385.71;60230.34
291;487385.71;58424.39
292;487385.71;65383.86
293;487385.71;60304.72
294;487385.71;60304.72
295;487385.71;65383.86
296;487385.71;74442.88
297;487385.71;75645.25
298;487385.71;74321.71
299;487385.71;74321.71
300;487385.71;97589.55
