Generation;Best_Trader_Fitness
1;352839.01
2;626113.78
3;626113.78
4;1047281.13
5;1047281.13
6;1047281.13
7;1047281.13
8;1047281.13
9;1047281.13
10;1047281.13
11;1047281.13
12;1047281.13
13;1047281.13
14;1047281.13
15;1047281.13
16;1047281.13
17;1047281.13
18;1047281.13
19;1047281.13
20;1047281.13
21;1047281.13
22;1047281.13
23;1047281.13
24;1047281.13
25;1047281.13
26;1047281.13
27;1047281.13
28;1047281.13
29;1047281.13
30;1047281.13
31;1047281.13
32;1047281.13
33;1047281.13
34;1047281.13
35;1047281.13
36;1047281.13
37;1047281.13
38;1047281.13
39;1047281.13
40;1047281.13
41;1047281.13
42;1047281.13
43;1047281.13
44;1047281.13
45;1047281.13
46;1047281.13
47;1047281.13
48;1047281.13
49;1047281.13
50;1047281.13
51;1047281.13
52;1047281.13
53;1047281.13
54;1047281.13
55;1047281.13
56;1047281.13
57;1047281.13
58;1047281.13
59;1047281.13
60;1047281.13
61;1047281.13
62;1047281.13
63;1047281.13
64;1047281.13
65;1047281.13
66;1047281.13
67;1047281.13
68;1047281.13
69;1047281.13
70;1047281.13
71;1047281.13
72;1047281.13
73;1047281.13
74;1047281.13
75;1047281.13
76;1047281.13
77;1047281.13
78;1047281.13
79;1047281.13
80;1047281.13
81;1047281.13
82;1047281.13
83;1047281.13
84;1047281.13
85;1047281.13
86;1047281.13
87;1047281.13
88;1047281.13
89;1047281.13
90;1047281.13
91;1047281.13
92;1047281.13
93;1047281.13
94;1047281.13
95;1047281.13
96;1047281.13
97;1113347.2
98;1113347.2
99;1113347.2
100;1113347.2
101;1113347.2
102;1113347.2
103;1113347.2
104;1113347.2
105;1113347.2
106;1113347.2
107;1113347.2
108;1113347.2
109;1113347.2
110;1113347.2
111;1113347.2
112;1113347.2
113;1113347.2
114;1113347.2
115;1113347.2
116;1113347.2
117;1113347.2
118;1113347.2
119;1113347.2
120;1113347.2
121;1113347.2
122;1113347.2
123;1113347.2
124;1113347.2
125;1113347.2
126;1113347.2
127;1113347.2
128;1113347.2
129;1113347.2
130;1113347.2
131;1113347.2
132;1113347.2
133;1113347.2
134;1113347.2
135;1113347.2
136;1113347.2
137;1113347.2
138;1113347.2
139;1113347.2
140;1113347.2
141;1113347.2
142;1113347.2
143;1113347.2
144;1113347.2
145;1113347.2
146;1113347.2
147;1113347.2
148;1113347.2
149;1113347.2
150;1113347.2
151;1113347.2
152;1113347.2
153;1113347.2
154;1113347.2
155;1113347.2
156;1113347.2
157;1113347.2
158;1113347.2
159;1113347.2
160;1113347.2
161;1113347.2
162;1113347.2
163;1113347.2
164;1113347.2
165;1113347.2
166;1113347.2
167;1113347.2
168;1113347.2
169;1113347.2
170;1113347.2
171;1113347.2
172;1113347.2
173;1113347.2
174;1113347.2
175;1113347.2
176;1113347.2
177;1113347.2
178;1113347.2
179;1113347.2
180;1260428.88
181;1260428.88
182;1260428.88
183;1260428.88
184;1260428.88
185;1260428.88
186;1260428.88
187;1260428.88
188;1260428.88
189;1260428.88
190;1260428.88
191;1260428.88
192;1260428.88
193;1260428.88
194;1260428.88
195;1260428.88
196;1260428.88
197;1260428.88
198;1260428.88
199;1260428.88
200;1260428.88
201;1260428.88
202;1260428.88
203;1260428.88
204;1260428.88
205;1260428.88
206;1260428.88
207;1260428.88
208;1260428.88
209;1260428.88
210;1260428.88
211;1260428.88
212;1260428.88
213;1260428.88
214;1260428.88
215;1260428.88
216;1260428.88
217;1260428.88
218;1260428.88
219;1260428.88
220;1260428.88
221;1260428.88
222;1260428.88
223;1260428.88
224;1260428.88
225;1260428.88
226;1260428.88
227;1260428.88
228;1260428.88
229;1260428.88
230;1260428.88
231;1260428.88
232;1260428.88
233;1260428.88
234;1260428.88
235;1260428.88
236;1260428.88
237;1260428.88
238;1260428.88
239;1260428.88
240;1260428.88
241;1260428.88
242;1260428.88
243;1260428.88
244;1260428.88
245;1260428.88
246;1260428.88
247;1260428.88
248;1260428.88
249;1260428.88
250;1260428.88
251;1260428.88
252;1260428.88
253;1260428.88
254;1260428.88
255;1260428.88
256;1260428.88
257;1260428.88
258;1260428.88
259;1260428.88
260;1260428.88
261;1260428.88
262;1260428.88
263;1260428.88
264;1260428.88
265;1260428.88
266;1260428.88
267;1260428.88
268;1260428.88
269;1260428.88
270;1260428.88
271;1260428.88
272;1260428.88
273;1260428.88
274;1260428.88
275;1260428.88
276;1260428.88
277;1260428.88
278;1260428.88
279;1260428.88
280;1260428.88
281;1260428.88
282;1260428.88
283;1260428.88
284;1260428.88
285;1260428.88
286;1260428.88
287;1260428.88
288;1260428.88
289;1260428.88
290;1260428.88
291;1260428.88
292;1260428.88
293;1260428.88
294;1260428.88
295;1260428.88
296;1260428.88
297;1260428.88
298;1260428.88
299;1260428.88
300;1260428.88
301;1260428.88
302;1260428.88
303;1260428.88
304;1260428.88
305;1260428.88
306;1260428.88
307;1260428.88
308;1260428.88
309;1260428.88
310;1260428.88
311;1260428.88
312;1260428.88
313;1260428.88
314;1260428.88
315;1260428.88
316;1260428.88
317;1260428.88
318;1260428.88
319;1260428.88
320;1260428.88
321;1260428.88
322;1260428.88
323;1260428.88
324;1260428.88
325;1260428.88
326;1260428.88
327;1260428.88
328;1260428.88
329;1260428.88
330;1260428.88
331;1260428.88
332;1260428.88
333;1260428.88
334;1260428.88
335;1260428.88
