Generation;Best_Trader_Fitness
1;1202728.82
2;1202728.82
3;1202728.82
4;1202728.82
5;1202728.82
6;1202728.82
7;1202728.82
8;1202728.82
9;1202728.82
10;1202728.82
11;1202728.82
12;1202728.82
13;1202728.82
14;1202728.82
15;1202728.82
16;1202728.82
17;1202728.82
18;1202728.82
19;1202728.82
20;1202728.82
21;1202728.82
22;1202728.82
23;1202728.82
24;1202728.82
25;1202728.82
26;1202728.82
27;1202728.82
28;1202728.82
29;1202728.82
30;1202728.82
31;1202728.82
32;1202728.82
33;1202728.82
34;1202728.82
35;1202728.82
36;1202728.82
37;1202728.82
38;1202728.82
39;1202728.82
40;1202728.82
41;1202728.82
42;1373546.65
43;1385208.04
44;1385208.04
45;1385208.04
46;1385208.04
47;1385208.04
48;1385208.04
49;1385208.04
50;1385208.04
51;1385208.04
52;1385208.04
53;1385208.04
54;1385208.04
55;1385208.04
56;1385208.04
57;1385208.04
58;1385208.04
59;1385208.04
60;1385208.04
61;1385208.04
62;1385208.04
63;1385208.04
64;1385208.04
65;1385208.04
66;1385208.04
67;1385208.04
68;1385208.04
69;1385208.04
70;1385208.04
71;1385208.04
72;1385208.04
73;1385208.04
74;1385208.04
75;1385208.04
76;1385208.04
77;1385208.04
78;1385208.04
79;1385208.04
80;1385208.04
81;1385208.04
82;1385208.04
83;1385208.04
84;1385208.04
85;1385208.04
86;1385208.04
87;1385208.04
88;1385208.04
89;1385208.04
90;1385208.04
91;1385208.04
92;1385208.04
93;1385208.04
94;1385208.04
95;1385208.04
96;1385208.04
97;1385208.04
98;1385208.04
99;1385208.04
100;1385208.04
101;1385208.04
102;1385208.04
103;1385208.04
104;1385208.04
105;1385208.04
106;1385208.04
107;1385208.04
108;1385208.04
109;1385208.04
110;1385208.04
111;1385208.04
112;1385208.04
113;1385208.04
114;1385208.04
115;1385208.04
116;1385208.04
117;1385208.04
118;1385208.04
119;1385208.04
120;1385208.04
121;1385208.04
122;1385208.04
123;1385208.04
124;1385208.04
125;1385208.04
126;1385208.04
127;1385208.04
128;1385208.04
129;1385208.04
130;1385208.04
131;1385208.04
132;1385208.04
133;1385208.04
134;1385208.04
135;1385208.04
136;1385208.04
137;1385208.04
138;1385208.04
139;1385208.04
140;1385208.04
141;1385208.04
142;1385208.04
143;1385208.04
144;1385208.04
145;1385208.04
146;1385208.04
147;1385208.04
148;1385208.04
149;1385208.04
150;1385208.04
151;1385208.04
152;1385208.04
153;1385208.04
154;1385208.04
155;1385208.04
156;1385208.04
157;1385208.04
