Generation;Best_Trader_Fitness
1;540822.36
2;862548.07
3;862548.07
4;862548.07
5;862548.07
6;862548.07
7;862548.07
8;862548.07
9;862548.07
10;862548.07
11;862548.07
12;862548.07
13;862548.07
14;862548.07
15;862548.07
16;862548.07
17;862548.07
18;862548.07
19;862548.07
20;862548.07
21;862548.07
22;862548.07
23;862548.07
24;862548.07
25;862548.07
26;862548.07
27;862548.07
28;862548.07
29;862548.07
30;862548.07
31;862548.07
32;862548.07
33;862548.07
34;862548.07
35;862548.07
36;862548.07
37;862548.07
38;862548.07
39;862548.07
40;862548.07
41;862548.07
42;862548.07
43;862548.07
44;862548.07
45;862548.07
46;862548.07
47;862548.07
48;862548.07
49;862548.07
50;862548.07
51;862548.07
52;862548.07
53;862548.07
54;862548.07
55;862548.07
56;862548.07
57;862548.07
58;862548.07
59;862548.07
60;862548.07
61;862548.07
62;862548.07
63;862548.07
64;862548.07
65;862548.07
66;862548.07
67;862548.07
68;862548.07
69;862548.07
70;862548.07
71;862548.07
72;862548.07
73;862548.07
74;862548.07
75;862548.07
76;862548.07
77;862548.07
78;862548.07
79;862548.07
80;862548.07
81;862548.07
82;862548.07
83;862548.07
84;862548.07
85;862548.07
86;862548.07
87;862548.07
88;862548.07
89;862548.07
90;862548.07
91;862548.07
92;862548.07
93;862548.07
94;862548.07
95;862548.07
96;862548.07
97;862548.07
98;862548.07
99;862548.07
100;862548.07
101;862548.07
102;862548.07
103;862548.07
104;862548.07
105;862548.07
106;862548.07
107;862548.07
108;862548.07
109;862548.07
110;862548.07
111;862548.07
112;862548.07
113;862548.07
114;862548.07
115;862548.07
116;862548.07
117;862548.07
118;862548.07
119;862548.07
120;862548.07
121;862548.07
122;862548.07
123;862548.07
124;862548.07
125;862548.07
126;862548.07
127;862548.07
128;862548.07
129;862548.07
130;862548.07
131;862548.07
132;862548.07
133;862548.07
134;862548.07
135;862548.07
136;862548.07
137;862548.07
138;862548.07
139;862548.07
140;862548.07
141;862548.07
142;862548.07
143;862548.07
144;862548.07
145;1025804.04
146;1025804.04
147;1025804.04
148;1025804.04
149;1025804.04
150;1025804.04
151;1025804.04
152;1025804.04
153;1025804.04
154;1025804.04
155;1025804.04
156;1025804.04
157;1025804.04
158;1025804.04
159;1025804.04
160;1025804.04
161;1025804.04
162;1025804.04
163;1025804.04
164;1025804.04
165;1025804.04
166;1025804.04
167;1025804.04
168;1025804.04
169;1025804.04
170;1025804.04
171;1025804.04
172;1025804.04
173;1025804.04
174;1025804.04
175;1025804.04
176;1025804.04
177;1025804.04
178;1025804.04
179;1025804.04
180;1025804.04
181;1025804.04
182;1025804.04
183;1025804.04
184;1025804.04
185;1025804.04
186;1025804.04
187;1025804.04
188;1025804.04
189;1025804.04
190;1025804.04
191;1139801.94
192;1139801.94
193;1139801.94
194;1139801.94
195;1139801.94
196;1139801.94
197;1139801.94
198;1139801.94
199;1139801.94
200;1139801.94
201;1139801.94
202;1139801.94
203;1139801.94
204;1139801.94
205;1139801.94
206;1139801.94
207;1139801.94
208;1139801.94
209;1139801.94
210;1139801.94
211;1139801.94
212;1139801.94
213;1139801.94
214;1139801.94
215;1139801.94
216;1139801.94
217;1139801.94
218;1139801.94
219;1139801.94
220;1139801.94
221;1139801.94
222;1139801.94
223;1139801.94
224;1139801.94
225;1139801.94
226;1139801.94
227;1139801.94
228;1139801.94
229;1139801.94
230;1139801.94
231;1139801.94
232;1139801.94
233;1139801.94
234;1139801.94
235;1139801.94
236;1139801.94
237;1139801.94
238;1139801.94
239;1139801.94
240;1139801.94
241;1139801.94
242;1139801.94
243;1139801.94
244;1139801.94
245;1139801.94
246;1139801.94
247;1139801.94
248;1139801.94
249;1139801.94
250;1139801.94
251;1139801.94
252;1139801.94
253;1139801.94
254;1139801.94
255;1139801.94
256;1139801.94
257;1139801.94
258;1139801.94
259;1139801.94
260;1139801.94
261;1139801.94
262;1139801.94
263;1139801.94
264;1139801.94
265;1139801.94
266;1139801.94
267;1139801.94
268;1139801.94
269;1139801.94
270;1139801.94
271;1139801.94
272;1139801.94
273;1139801.94
274;1139801.94
275;1139801.94
276;1139801.94
277;1139801.94
278;1139801.94
279;1139801.94
280;1139801.94
281;1139801.94
282;1139801.94
283;1139801.94
284;1139801.94
285;1139801.94
286;1139801.94
287;1139801.94
288;1139801.94
289;1139801.94
290;1139801.94
291;1139801.94
292;1139801.94
293;1139801.94
294;1139801.94
295;1139801.94
296;1139801.94
297;1139801.94
298;1139801.94
299;1139801.94
300;1139801.94
301;1139801.94
302;1139801.94
303;1139801.94
304;1139801.94
305;1139801.94
306;1139801.94
307;1139801.94
308;1139801.94
309;1139801.94
310;1139801.94
311;1139801.94
312;1139801.94
313;1139801.94
314;1139801.94
315;1139801.94
316;1139801.94
317;1139801.94
318;1139801.94
319;1139801.94
320;1139801.94
321;1139801.94
322;1139801.94
323;1139801.94
324;1139801.94
325;1139801.94
326;1139801.94
327;1139801.94
328;1139801.94
329;1139801.94
330;1139801.94
331;1139801.94
332;1139801.94
333;1139801.94
334;1139801.94
335;1139801.94
336;1139801.94
337;1139801.94
338;1139801.94
339;1139801.94
340;1139801.94
341;1139801.94
342;1139801.94
343;1139801.94
344;1139801.94
345;1139801.94
346;1139801.94
347;1139801.94
348;1139801.94
349;1139801.94
350;1139801.94
351;1139801.94
352;1139801.94
353;1139801.94
354;1139801.94
355;1139801.94
356;1139801.94
357;1139801.94
358;1139801.94
359;1139801.94
360;1139801.94
361;1139801.94
362;1139801.94
363;1139801.94
364;1139801.94
365;1139801.94
366;1139801.94
367;1139801.94
368;1139801.94
369;1139801.94
370;1139801.94
371;1139801.94
372;1139801.94
373;1139801.94
374;1139801.94
375;1139801.94
376;1139801.94
377;1139801.94
378;1139801.94
379;1139801.94
380;1139801.94
381;1139801.94
382;1139801.94
383;1139801.94
384;1139801.94
385;1139801.94
386;1139801.94
387;1139801.94
388;1139801.94
389;1139801.94
390;1139801.94
391;1139801.94
392;1139801.94
393;1139801.94
394;1139801.94
395;1139801.94
396;1139801.94
397;1139801.94
398;1139801.94
399;1139801.94
400;1139801.94
401;1139801.94
402;1139801.94
403;1139801.94
404;1139801.94
405;1139801.94
406;1139801.94
407;1139801.94
408;1139801.94
409;1139801.94
410;1139801.94
411;1139801.94
412;1139801.94
413;1139801.94
414;1139801.94
415;1139801.94
416;1139801.94
417;1139801.94
418;1139801.94
419;1139801.94
420;1139801.94
421;1139801.94
422;1139801.94
423;1139801.94
424;1139801.94
425;1139801.94
426;1139801.94
427;1139801.94
428;1139801.94
429;1139801.94
430;1139801.94
431;1139801.94
432;1139801.94
433;1139801.94
434;1139801.94
435;1139801.94
436;1139801.94
437;1139801.94
438;1139801.94
439;1139801.94
440;1139801.94
441;1139801.94
442;1139801.94
443;1139801.94
444;1139801.94
445;1139801.94
446;1139801.94
447;1139801.94
448;1139801.94
449;1139801.94
450;1139801.94
451;1139801.94
452;1139801.94
453;1139801.94
454;1139801.94
455;1139801.94
456;1139801.94
457;1139801.94
458;1139801.94
459;1139801.94
460;1139801.94
461;1139801.94
462;1139801.94
463;1139801.94
464;1139801.94
465;1139801.94
466;1139801.94
467;1139801.94
468;1139801.94
469;1139801.94
470;1139801.94
471;1139801.94
472;1139801.94
473;1139801.94
474;1139801.94
475;1139801.94
476;1139801.94
477;1139801.94
478;1139801.94
479;1139801.94
480;1139801.94
481;1139801.94
482;1139801.94
483;1139801.94
484;1139801.94
485;1139801.94
486;1139801.94
487;1139801.94
488;1139801.94
489;1139801.94
490;1139801.94
491;1139801.94
492;1139801.94
493;1139801.94
494;1139801.94
495;1139801.94
496;1139801.94
497;1139801.94
498;1139801.94
499;1139801.94
500;1139801.94
