Generation;Best_Trader_Fitness
1;868468.98
2;1061809.77
3;1609566.75
4;1609566.75
5;1609566.75
6;1742200.89
7;1742200.89
8;1742200.89
9;1742200.89
10;1742200.89
11;1742200.89
12;1742200.89
13;1742200.89
14;1742200.89
15;1742200.89
16;1742200.89
17;1742200.89
18;1742200.89
19;1742200.89
20;1742200.89
21;1742200.89
22;1742200.89
23;1742200.89
24;1742200.89
25;1742200.89
26;1742200.89
27;1742200.89
28;1742200.89
29;1742200.89
30;1742200.89
31;1742200.89
32;1742200.89
33;1742200.89
34;1742200.89
35;1742200.89
36;1742200.89
37;1742200.89
38;1742200.89
39;1742200.89
40;1742200.89
41;1742200.89
42;1742200.89
43;1742200.89
44;1742200.89
45;1742200.89
46;1742200.89
47;1742200.89
48;1742200.89
49;1742200.89
50;1742200.89
51;1742200.89
52;1742200.89
53;1742200.89
54;1742200.89
55;1742200.89
56;1742200.89
57;1742200.89
58;1742200.89
59;1742200.89
60;1742200.89
61;1742200.89
62;1742200.89
63;1742200.89
64;1742200.89
65;1742200.89
66;1742200.89
67;1742200.89
68;1742200.89
69;1742200.89
70;1742200.89
71;1742200.89
72;1742200.89
73;1742200.89
74;1742200.89
75;1742200.89
76;1742200.89
77;1742200.89
78;1742200.89
79;1742200.89
80;1742200.89
81;1742200.89
82;1742200.89
83;1742200.89
84;1742200.89
85;1742200.89
86;1742200.89
87;1742200.89
88;1742200.89
89;1742200.89
90;1742200.89
91;1742200.89
92;1742200.89
93;1742200.89
94;1742200.89
95;1742200.89
96;1742200.89
97;1742200.89
98;1742200.89
99;1742200.89
100;1742200.89
101;1742200.89
102;1742200.89
103;1742200.89
104;1742200.89
105;1742200.89
106;1742200.89
107;1742200.89
108;1742200.89
109;1742200.89
110;1742200.89
111;1742200.89
112;1742200.89
113;1742200.89
114;1742200.89
115;1742200.89
116;1742200.89
117;1742200.89
118;1742200.89
119;1742200.89
120;1742200.89
121;1742200.89
122;1742200.89
123;1742200.89
124;1742200.89
125;1742200.89
126;1742200.89
127;1742200.89
128;1742200.89
129;1742200.89
130;1742200.89
131;1742200.89
132;1742200.89
133;1742200.89
134;1742200.89
135;1742200.89
136;1742200.89
137;1742200.89
138;1742200.89
139;1742200.89
140;1742200.89
141;1742200.89
142;1742200.89
143;1742200.89
144;1742200.89
145;1742200.89
146;1742200.89
147;1742200.89
148;1742200.89
149;1742200.89
150;1742200.89
151;1742200.89
152;1742200.89
153;1742200.89
154;1742200.89
155;1742200.89
156;1742200.89
157;1742200.89
158;1742200.89
159;1742200.89
160;1742200.89
161;1742200.89
162;1742200.89
163;1742200.89
164;1742200.89
165;1742200.89
166;1742200.89
167;1742200.89
168;1742200.89
169;1742200.89
170;1742200.89
171;1742200.89
172;1742200.89
173;1742200.89
174;1742200.89
175;1742200.89
176;1742200.89
177;1742200.89
178;1742200.89
179;1742200.89
180;1742200.89
181;1742200.89
182;1742200.89
183;1742200.89
184;1742200.89
185;1742200.89
186;1742200.89
187;1742200.89
188;1742200.89
189;1742200.89
190;1742200.89
191;1742200.89
192;1742200.89
193;1742200.89
194;1742200.89
195;1742200.89
196;1742200.89
197;1742200.89
198;1742200.89
199;1742200.89
200;1742200.89
201;1742200.89
202;1742200.89
203;1742200.89
204;1742200.89
205;1742200.89
206;1742200.89
207;1742200.89
208;1742200.89
209;1742200.89
210;1742200.89
211;1742200.89
212;1742200.89
213;1742200.89
214;1742200.89
215;1742200.89
216;1742200.89
217;1742200.89
218;1742200.89
219;1742200.89
220;1742200.89
221;1742200.89
222;1742200.89
