Generation;Best_Trader_Fitness
1;498538.48
2;498538.48
3;498538.48
4;498538.48
5;649502.41
6;660800.99
7;660800.99
8;660800.99
9;713085.12
10;713085.12
11;792731.47
12;792731.47
13;792731.47
14;792731.47
15;792731.47
16;792731.47
17;792731.47
18;792731.47
19;792731.47
20;792731.47
21;792731.47
22;792731.47
23;792731.47
24;792731.47
25;792731.47
26;792731.47
27;792731.47
28;792731.47
29;792731.47
30;792731.47
31;792731.47
32;792731.47
33;792731.47
34;792731.47
35;792731.47
36;792731.47
37;792731.47
38;792731.47
39;792731.47
40;792731.47
41;792731.47
42;792731.47
43;792731.47
44;792731.47
45;792731.47
46;792731.47
47;792731.47
48;792731.47
49;792731.47
50;792731.47
51;792731.47
52;792731.47
53;792731.47
54;792731.47
55;792731.47
56;792731.47
57;792731.47
58;792731.47
59;792731.47
60;792731.47
61;792731.47
62;792731.47
63;792731.47
64;792731.47
65;792731.47
66;792731.47
67;792731.47
68;792731.47
69;792731.47
70;792731.47
71;792731.47
72;792731.47
73;845439.07
74;845439.07
75;845439.07
76;845439.07
77;845439.07
78;845439.07
79;845439.07
80;845439.07
81;845439.07
82;845439.07
83;845439.07
84;845439.07
85;845439.07
86;845439.07
87;845439.07
88;845439.07
89;845439.07
90;845439.07
91;845439.07
92;845439.07
93;845439.07
94;845439.07
95;845439.07
96;845439.07
97;845439.07
98;845439.07
99;845439.07
100;845439.07
101;845439.07
102;845439.07
103;845439.07
104;845439.07
105;845439.07
106;845439.07
107;845439.07
108;845439.07
109;845439.07
110;845439.07
111;845439.07
112;845439.07
113;845439.07
114;845439.07
115;845439.07
116;845439.07
117;845439.07
118;845439.07
119;845439.07
120;845439.07
121;845439.07
122;845439.07
123;845439.07
124;845439.07
125;845439.07
126;845439.07
127;845439.07
128;845439.07
129;845439.07
130;845439.07
131;845439.07
132;845439.07
133;845439.07
134;845439.07
135;845439.07
136;845439.07
137;845439.07
138;845439.07
139;845439.07
140;845439.07
141;845439.07
142;845439.07
143;845439.07
144;845439.07
145;845439.07
146;845439.07
147;845439.07
148;845439.07
149;845439.07
150;845439.07
151;845439.07
152;845439.07
153;845439.07
154;845439.07
155;845439.07
156;845439.07
157;845439.07
158;845439.07
159;845439.07
160;845439.07
161;845439.07
162;845439.07
163;845439.07
164;845439.07
165;845439.07
166;845439.07
167;845439.07
168;845439.07
169;845439.07
170;845439.07
171;845439.07
172;845439.07
173;845439.07
174;845439.07
175;845439.07
176;845439.07
177;845439.07
178;845439.07
179;845439.07
180;845439.07
181;845439.07
182;845439.07
183;845439.07
184;845439.07
185;845439.07
186;845439.07
187;845439.07
188;845439.07
189;845439.07
190;845439.07
191;845439.07
192;845439.07
193;845439.07
194;845439.07
195;845439.07
196;845439.07
197;845439.07
198;845439.07
199;845439.07
200;845439.07
201;845439.07
202;845439.07
203;845439.07
204;845439.07
205;845439.07
206;845439.07
207;845439.07
208;845439.07
209;845439.07
210;845439.07
211;845439.07
212;845439.07
213;845439.07
