Generation;Best_Trader_Fitness
1;486555.1
2;486555.1
3;699508.72
4;699508.72
5;699508.72
6;1028571.76
7;1028571.76
8;1028571.76
9;1028571.76
10;1028571.76
11;1028571.76
12;1028571.76
13;1028571.76
14;1028571.76
15;1028571.76
16;1028571.76
17;1028571.76
18;1028571.76
19;1028571.76
20;1028571.76
21;1028571.76
22;1028571.76
23;1028571.76
24;1028571.76
25;1028571.76
26;1028571.76
27;1028571.76
28;1028571.76
29;1028571.76
30;1028571.76
31;1028571.76
32;1028571.76
33;1028571.76
34;1028571.76
35;1028571.76
36;1028571.76
37;1028571.76
38;1028571.76
39;1028571.76
40;1028571.76
41;1028571.76
42;1028571.76
43;1028571.76
44;1028571.76
45;1028571.76
46;1028571.76
47;1028571.76
48;1028571.76
49;1028571.76
50;1028571.76
51;1028571.76
52;1028571.76
53;1028571.76
54;1028571.76
55;1028571.76
56;1028571.76
57;1028571.76
58;1028571.76
59;1028571.76
60;1028571.76
61;1028571.76
62;1028571.76
63;1028571.76
64;1028571.76
65;1028571.76
66;1028571.76
67;1028571.76
68;1028571.76
69;1028571.76
70;1028571.76
71;1028571.76
72;1028571.76
73;1028571.76
74;1028571.76
75;1028571.76
76;1028571.76
77;1028571.76
78;1028571.76
79;1028571.76
80;1028571.76
81;1028571.76
82;1028571.76
83;1028571.76
84;1028571.76
85;1028571.76
86;1028571.76
87;1028571.76
88;1028571.76
89;1028571.76
90;1028571.76
91;1028571.76
92;1028571.76
93;1028571.76
94;1028571.76
95;1028571.76
96;1028571.76
97;1028571.76
98;1028571.76
99;1028571.76
100;1028571.76
101;1028571.76
102;1028571.76
103;1028571.76
104;1028571.76
105;1028571.76
106;1028571.76
107;1028571.76
108;1028571.76
109;1028571.76
110;1028571.76
111;1028571.76
112;1028571.76
113;1028571.76
114;1028571.76
115;1028571.76
116;1028571.76
117;1028571.76
118;1028571.76
119;1028571.76
120;1028571.76
121;1028571.76
122;1172313.28
123;1172313.28
124;1172313.28
125;1172313.28
126;1172313.28
127;1172313.28
128;1172313.28
129;1172313.28
130;1172313.28
131;1172313.28
132;1172313.28
133;1172313.28
134;1172313.28
135;1172313.28
136;1172313.28
137;1172313.28
138;1172313.28
139;1172313.28
140;1172313.28
141;1172313.28
142;1172313.28
143;1172313.28
144;1172313.28
145;1172313.28
146;1172313.28
147;1172313.28
148;1172313.28
149;1172313.28
150;1172313.28
151;1172313.28
152;1172313.28
153;1172313.28
154;1172313.28
155;1172313.28
156;1172313.28
157;1172313.28
158;1172313.28
159;1172313.28
160;1172313.28
161;1172313.28
162;1172313.28
163;1172313.28
164;1172313.28
165;1172313.28
166;1172313.28
167;1172313.28
168;1172313.28
169;1172313.28
170;1172313.28
171;1172313.28
172;1172313.28
173;1172313.28
174;1172313.28
175;1172313.28
176;1172313.28
177;1172313.28
178;1172313.28
179;1172313.28
180;1172313.28
181;1172313.28
182;1172313.28
183;1172313.28
184;1172313.28
185;1172313.28
186;1172313.28
187;1172313.28
188;1172313.28
189;1172313.28
190;1172313.28
191;1172313.28
192;1172313.28
193;1172313.28
194;1172313.28
195;1172313.28
196;1172313.28
197;1172313.28
198;1172313.28
199;1172313.28
200;1172313.28
201;1172313.28
202;1172313.28
203;1172313.28
204;1172313.28
205;1172313.28
206;1172313.28
207;1172313.28
208;1172313.28
209;1172313.28
210;1172313.28
211;1172313.28
212;1172313.28
213;1172313.28
214;1172313.28
215;1172313.28
216;1172313.28
217;1172313.28
218;1172313.28
219;1172313.28
220;1172313.28
221;1172313.28
222;1172313.28
223;1172313.28
224;1172313.28
225;1172313.28
226;1172313.28
227;1172313.28
228;1172313.28
229;1172313.28
230;1172313.28
231;1172313.28
232;1172313.28
233;1172313.28
234;1172313.28
235;1172313.28
236;1172313.28
237;1172313.28
238;1172313.28
239;1172313.28
240;1172313.28
241;1172313.28
242;1172313.28
243;1172313.28
244;1172313.28
245;1172313.28
246;1172313.28
247;1172313.28
248;1172313.28
249;1172313.28
250;1172313.28
251;1172313.28
252;1172313.28
253;1172313.28
254;1172313.28
255;1172313.28
