Generation;Best_Trader_Fitness
1;755262.67
2;972892.81
3;1143964.28
4;1368554.76
5;1368554.76
6;1368554.76
7;1368554.76
8;1368554.76
9;1368554.76
10;1368554.76
11;1368554.76
12;1368554.76
13;1368554.76
14;1368554.76
15;1368554.76
16;1368554.76
17;1368554.76
18;1368554.76
19;1368554.76
20;1368554.76
21;1368554.76
22;1368554.76
23;1368554.76
24;1368554.76
25;1368554.76
26;1368554.76
27;1368554.76
28;1368554.76
29;1368554.76
30;1368554.76
31;1368554.76
32;1368554.76
33;1368554.76
34;1368554.76
35;1368554.76
36;1368554.76
37;1368554.76
38;1368554.76
39;1368554.76
40;1368554.76
41;1368554.76
42;1368554.76
43;1368554.76
44;1368554.76
45;1368554.76
46;1368554.76
47;1368554.76
48;1368554.76
49;1368554.76
50;1368554.76
51;1368554.76
52;1368554.76
53;1368554.76
54;1368554.76
55;1368554.76
56;1368554.76
57;1368554.76
58;1368554.76
59;1368554.76
60;1368554.76
61;1368554.76
62;1368554.76
63;1368554.76
64;1368554.76
65;1368554.76
66;1368554.76
67;1368554.76
68;1368554.76
69;1368554.76
70;1368554.76
71;1368554.76
72;1368554.76
73;1368554.76
74;1368554.76
75;1368554.76
76;1368554.76
77;1368554.76
78;1368554.76
79;1368554.76
80;1368554.76
81;1368554.76
82;1368554.76
83;1368554.76
84;1368554.76
85;1368554.76
86;1368554.76
87;1368554.76
88;1368554.76
89;1368554.76
90;1368554.76
91;1368554.76
92;1368554.76
93;1368554.76
94;1368554.76
95;1368554.76
96;1368554.76
97;1368554.76
98;1368554.76
99;1368554.76
100;1368554.76
101;1368554.76
102;1368554.76
103;1368554.76
104;1368554.76
105;1368554.76
106;1368554.76
107;1368554.76
108;1368554.76
109;1368554.76
110;1368554.76
111;1368554.76
112;1368554.76
113;1368554.76
114;1368554.76
115;1368554.76
116;1368554.76
117;1368554.76
118;1368554.76
119;1368554.76
120;1368554.76
121;1368554.76
122;1368554.76
123;1368554.76
124;1368554.76
125;1368554.76
126;1368554.76
127;1368554.76
128;1368554.76
129;1368554.76
130;1368554.76
131;1368554.76
132;1368554.76
133;1368554.76
134;1368554.76
135;1368554.76
136;1368554.76
137;1368554.76
138;1368554.76
139;1368554.76
140;1368554.76
141;1368554.76
142;1368554.76
143;1368554.76
144;1368554.76
145;1368554.76
146;1368554.76
147;1368554.76
148;1368554.76
149;1368554.76
150;1368554.76
151;1368554.76
152;1368554.76
153;1368554.76
154;1368554.76
155;1368554.76
156;1368554.76
157;1368554.76
158;1368554.76
159;1368554.76
160;1368554.76
161;1368554.76
162;1368554.76
163;1368554.76
164;1368554.76
165;1368554.76
166;1368554.76
167;1368554.76
168;1368554.76
169;1368554.76
170;1368554.76
171;1368554.76
172;1368554.76
173;1368554.76
174;1368554.76
175;1368554.76
176;1368554.76
177;1368554.76
178;1368554.76
179;1368554.76
180;1368554.76
181;1368554.76
182;1368554.76
183;1368554.76
184;1368554.76
185;1368554.76
186;1368554.76
187;1368554.76
188;1368554.76
189;1368554.76
190;1368554.76
191;1368554.76
192;1368554.76
193;1368554.76
194;1368554.76
195;1484544.9
196;1484544.9
197;1484544.9
198;1484544.9
199;1484544.9
200;1484544.9
201;1484544.9
202;1484544.9
203;1484544.9
204;1484544.9
205;1484544.9
206;1484544.9
207;1484544.9
208;1484544.9
209;1484544.9
210;1484544.9
211;1484544.9
212;1484544.9
213;1484544.9
214;1484544.9
215;1484544.9
216;1484544.9
217;1484544.9
218;1484544.9
219;1484544.9
220;1484544.9
221;1484544.9
222;1484544.9
223;1484544.9
224;1484544.9
225;1484544.9
226;1484544.9
227;1484544.9
228;1484544.9
229;1484544.9
230;1484544.9
231;1484544.9
232;1484544.9
233;1484544.9
234;1484544.9
235;1484544.9
236;1484544.9
237;1484544.9
238;1484544.9
239;1484544.9
240;1484544.9
241;1484544.9
242;1484544.9
243;1484544.9
244;1484544.9
245;1484544.9
246;1484544.9
247;1484544.9
248;1484544.9
249;1484544.9
250;1484544.9
251;1484544.9
252;1484544.9
253;1484544.9
254;1484544.9
255;1484544.9
256;1484544.9
257;1484544.9
258;1484544.9
259;1484544.9
260;1484544.9
261;1484544.9
262;1484544.9
263;1484544.9
264;1484544.9
265;1484544.9
266;1484544.9
267;1484544.9
268;1484544.9
269;1484544.9
270;1484544.9
271;1484544.9
272;1484544.9
273;1484544.9
274;1484544.9
275;1484544.9
276;1484544.9
277;1484544.9
278;1484544.9
279;1484544.9
280;1484544.9
281;1484544.9
282;1484544.9
283;1484544.9
284;1484544.9
285;1484544.9
286;1484544.9
287;1484544.9
288;1484544.9
289;1484544.9
290;1484544.9
291;1484544.9
292;1484544.9
293;1484544.9
294;1484544.9
295;1484544.9
296;1484544.9
297;1484544.9
298;1484544.9
299;1484544.9
300;1484544.9
301;1484544.9
302;1484544.9
303;1484544.9
304;1484544.9
305;1484544.9
306;1484544.9
307;1484544.9
308;1484544.9
309;1484544.9
310;1484544.9
311;1484544.9
312;1484544.9
313;1484544.9
314;1484544.9
315;1484544.9
316;1484544.9
317;1484544.9
318;1484544.9
319;1484544.9
320;1484544.9
321;1484544.9
322;1484544.9
323;1484544.9
324;1484544.9
325;1484544.9
326;1484544.9
327;1484544.9
328;1484544.9
329;1484544.9
330;1484544.9
331;1484544.9
332;1484544.9
333;1484544.9
334;1484544.9
335;1484544.9
336;1484544.9
337;1484544.9
338;1484544.9
339;1484544.9
340;1484544.9
341;1484544.9
342;1484544.9
343;1484544.9
344;1484544.9
345;1484544.9
346;1484544.9
347;1484544.9
348;1484544.9
349;1484544.9
350;1484544.9
351;1484544.9
352;1484544.9
353;1484544.9
354;1484544.9
355;1484544.9
356;1484544.9
357;1484544.9
358;1484544.9
359;1484544.9
360;1484544.9
361;1484544.9
362;1484544.9
363;1484544.9
364;1484544.9
365;1484544.9
366;1484544.9
367;1484544.9
368;1484544.9
369;1484544.9
370;1484544.9
371;1484544.9
372;1484544.9
373;1484544.9
374;1484544.9
375;1484544.9
376;1484544.9
377;1484544.9
378;1484544.9
379;1484544.9
380;1484544.9
381;1484544.9
382;1484544.9
383;1484544.9
384;1484544.9
385;1484544.9
386;1484544.9
387;1484544.9
388;1484544.9
389;1484544.9
390;1484544.9
391;1484544.9
392;1484544.9
393;1484544.9
394;1484544.9
395;1484544.9
396;1484544.9
397;1484544.9
398;1484544.9
399;1484544.9
400;1484544.9
401;1484544.9
402;1484544.9
403;1484544.9
404;1484544.9
405;1484544.9
406;1484544.9
407;1484544.9
408;1484544.9
409;1484544.9
410;1484544.9
411;1484544.9
412;1484544.9
413;1484544.9
414;1484544.9
415;1484544.9
416;1484544.9
417;1484544.9
418;1484544.9
419;1484544.9
420;1484544.9
421;1484544.9
422;1484544.9
