Generation;Best_Trader_Fitness
1;671340.04
2;671340.04
3;843805.18
4;844235.57
5;1098552.73
6;1098552.73
7;1098552.73
8;1098552.73
9;1098552.73
10;1098552.73
11;1098552.73
12;1098552.73
13;1098552.73
14;1098552.73
15;1098552.73
16;1098552.73
17;1098552.73
18;1098552.73
19;1098552.73
20;1098552.73
21;1098552.73
22;1098552.73
23;1098552.73
24;1098552.73
25;1098552.73
26;1098552.73
27;1098552.73
28;1098552.73
29;1098552.73
30;1098552.73
31;1098552.73
32;1098552.73
33;1098552.73
34;1098552.73
35;1098552.73
36;1098552.73
37;1098552.73
38;1098552.73
39;1098552.73
40;1098552.73
41;1098552.73
42;1098552.73
43;1098552.73
44;1098552.73
45;1098552.73
46;1362615.09
47;1362615.09
48;1362615.09
49;1362615.09
50;1362615.09
51;1362615.09
52;1362615.09
53;1362615.09
54;1362615.09
55;1362615.09
56;1362615.09
57;1362615.09
58;1362615.09
59;1362615.09
60;1362615.09
61;1362615.09
62;1362615.09
63;1362615.09
64;1362615.09
65;1362615.09
66;1362615.09
67;1362615.09
68;1362615.09
69;1362615.09
70;1362615.09
71;1362615.09
72;1362615.09
73;1362615.09
74;1362615.09
75;1362615.09
76;1362615.09
77;1362615.09
78;1362615.09
79;1362615.09
80;1362615.09
81;1362615.09
82;1362615.09
83;1362615.09
84;1362615.09
85;1362615.09
86;1362615.09
87;1362615.09
88;1362615.09
89;1362615.09
90;1362615.09
91;1362615.09
92;1362615.09
93;1362615.09
94;1362615.09
95;1362615.09
96;1362615.09
97;1362615.09
98;1362615.09
99;1362615.09
100;1362615.09
101;1362615.09
102;1362615.09
103;1362615.09
104;1362615.09
105;1362615.09
106;1362615.09
107;1362615.09
108;1362615.09
109;1362615.09
110;1362615.09
111;1362615.09
112;1362615.09
113;1362615.09
114;1362615.09
115;1362615.09
116;1362615.09
117;1362615.09
118;1362615.09
119;1362615.09
120;1362615.09
121;1362615.09
122;1362615.09
123;1362615.09
124;1362615.09
125;1362615.09
126;1362615.09
127;1362615.09
128;1362615.09
129;1362615.09
130;1362615.09
131;1362615.09
132;1362615.09
133;1362615.09
134;1362615.09
135;1362615.09
136;1362615.09
137;1362615.09
138;1362615.09
139;1362615.09
140;1362615.09
141;1362615.09
142;1362615.09
143;1362615.09
144;1362615.09
145;1362615.09
146;1362615.09
147;1362615.09
148;1362615.09
149;1362615.09
150;1362615.09
151;1362615.09
152;1362615.09
153;1362615.09
154;1362615.09
155;1362615.09
156;1362615.09
157;1362615.09
158;1362615.09
159;1362615.09
160;1362615.09
161;1362615.09
162;1362615.09
163;1362615.09
164;1362615.09
165;1362615.09
166;1362615.09
167;1362615.09
168;1362615.09
169;1362615.09
170;1362615.09
171;1362615.09
172;1362615.09
173;1362615.09
174;1362615.09
175;1362615.09
176;1362615.09
177;1362615.09
178;1362615.09
179;1362615.09
180;1362615.09
181;1362615.09
182;1362615.09
183;1362615.09
184;1362615.09
185;1362615.09
186;1362615.09
187;1362615.09
188;1362615.09
189;1362615.09
190;1362615.09
191;1362615.09
192;1362615.09
193;1362615.09
194;1362615.09
195;1362615.09
196;1362615.09
197;1362615.09
198;1362615.09
199;1362615.09
200;1362615.09
201;1362615.09
202;1362615.09
203;1362615.09
204;1362615.09
205;1362615.09
206;1362615.09
207;1362615.09
208;1362615.09
209;1362615.09
210;1362615.09
211;1362615.09
212;1362615.09
213;1362615.09
214;1362615.09
215;1362615.09
216;1362615.09
217;1362615.09
218;1362615.09
219;1362615.09
220;1362615.09
221;1362615.09
222;1362615.09
223;1362615.09
224;1362615.09
225;1362615.09
226;1362615.09
227;1362615.09
228;1362615.09
229;1362615.09
230;1362615.09
